year,N (gallons),K (gallons)
2010,400,1000
2011,460,1000
2012,400,1100
2013,446,1000
2014,667,1000
2015,330,1000
2016,600,1200
2017,0,0
2018,300,600
2019,450,900
2020,600,900
2021,600,450
2022,390,390
